Block,Reward360,Reward180,Reward90,RewardFlexible
226008,552342631753208181352782,414256973814906136014587,276171315876604090676391,138085657938302045338195
227008,554831539424583625581002,416123654568437719185751,277415769712291812790501,138707884856145906395250
228008,557319831843519802281238,417989873882639851710929,278659915921759901140619,139329957960879950570309
229008,559807509194564786042289,419855631895923589531717,279903754597282393021144,139951877298641196510572
230008,562294571662211253106473,421720928746658439829854,281147285831105626553236,140573642915552813276618
231008,564781019430896554329394,423585764573172415747045,282390509715448277164697,141195254857724138582348
232008,567266852685002729771891,425450139513752047328918,283633426342501364885945,141816713171250682442972
233008,569752071608856494108090,427314053706642370581068,284876035804428247054045,142438017902214123527022
234008,572236676386729294993208,429177507290046971244906,286118338193364647496604,143059169096682323748302
235008,574720667202837276583675,431040500402127957437756,287360333601418638291837,143680166800709319145918
236008,577204044241341345200917,432903033181006008900688,288602022120670672600458,144301011060335336300229
237008,579686807686347176627336,434765105764760382470502,289843403843173588313668,144921701921586794156834
238008,582168957721905194218377,436626718291428895663783,291084478860952597109188,145542239430476298554594
239008,584650494532010663750222,438487870899007997812666,292325247266005331875111,146162623633002665937555
240008,587131418300603591276118,440348563725452693457088,293565709150301795638059,146782854575150897819029
241008,589611729211568854453955,442208796908676640840466,294805864605784427226977,147402932302892213613488
242008,592091427448736195250284,444068570586552146437713,296045713724368097625142,148022856862184048812571
243008,594570513195880132388604,445927884896910099291453,297285256597940066194302,148642628298970033097151
244008,597048986636720172932672,447786739977540129699504,298524493318360086466336,149262246659180043233168
245008,599526847954920615295148,449645135966190461471361,299763423977460307647574,149881711988730153823787
246008,602004097334090724341016,451503073000568043255762,301002048667045362170508,150501024333522681085254
247008,604480734957784665723808,453360551218338499292856,302240367478892332861904,151120183739446166430952
248008,606956761009501571549380,455217570757126178662035,303478380504750785774690,151739190252375392887345
249008,609432175672685511192014,457074131754514133394010,304716087836342755596007,152358043918171377798003
250008,611906979130725513182342,458930234348044134886756,305953489565362756591171,152976744782681378295585
251008,614381171566955652759063,460785878675216739569297,307190585783477826379531,153595292891738913189765
252008,616854753164654957021251,462641064873491217765938,308427376582327478510625,154213688291163739255312
253008,619327724107047507072020,464495793080285630304015,309663862053523753536010,154831931026761876768005
254008,621800084577302416130599,466350063432976812097949,310900042288651208065299,155450021144325604032649
255008,624271834758533866012208,468203876068900399509156,312135917379266933006104,156067958689633466503052
256008,626742974833801092536110,470057231125350819402083,313371487416900546268055,156685743708450273134027
257008,629213504986108443893417,471910128739581332920063,314606752493054221946708,157303376246527110973354
258008,631683425398405344167211,473762569048804008125408,315841712699202672083605,157920856349601336041802
259008,634152736253586395476206,475614552190189796607154,317076368126793197738103,158538184063396598869051
260008,636621437734491268535114,477466078300868451401335,318310718867245634267557,159155359433622817133778
261008,639089530023904848574158,479317147517928636430618,319544765011952424287079,159772382505976212143539
262008,641557013304557162379317,481167759978417871784488,320778506652278581189658,160389253326139290594829
263008,644023887759123443956109,483017915819342582967082,322011943879561721978054,161005971939780860989027
